"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年2月12日","27,823.66","27,717.22","27,892.48","27,614.83","1.80B","0.87%"
"2020年2月11日","27,583.88","27,514.25","27,674.81","27,436.99","1.87B","1.26%"
"2020年2月10日","27,241.34","27,092.15","27,314.64","27,044.88","1.61B","-0.59%"
"2020年2月7日","27,404.27","27,356.28","27,410.58","27,224.12","1.46B","-0.33%"
"2020年2月6日","27,493.70","27,174.53","27,608.22","27,029.49","2.25B","2.64%"
"2020年2月5日","26,786.74","26,869.32","26,926.12","26,641.92","2.50B","0.42%"
"2020年2月4日","26,675.98","26,491.66","26,730.26","26,491.66","2.50B","1.21%"
"2020年2月3日","26,356.98","26,189.61","26,512.58","26,145.59","2.42B","0.17%"
"2020年1月31日","26,312.63","26,757.61","26,818.84","26,295.49","1.87B","-0.52%"
"2020年1月30日","26,449.13","27,030.61","27,134.55","26,330.05","2.22B","-2.62%"
"2020年1月29日","27,160.63","27,101.54","27,333.30","27,101.54","2.20B","-2.82%"
"2020年1月24日","27,949.64","27,935.42","27,977.63","27,774.50","612.13M","0.15%"
"2020年1月23日","27,909.12","28,109.75","28,133.03","27,706.37","1.75B","-1.52%"
"2020年1月22日","28,341.04","28,116.50","28,393.93","27,937.68","1.34B","1.27%"
"2020年1月21日","27,985.33","28,449.38","28,492.03","27,980.50","2.24B","-2.81%"
"2020年1月20日","28,795.91","29,169.12","29,174.92","28,795.42","1.63B","-0.90%"
"2020年1月17日","29,056.42","28,988.16","29,101.15","28,813.13","1.55B","0.60%"
"2020年1月16日","28,883.04","28,806.12","28,987.73","28,709.57","1.62B","0.38%"
"2020年1月15日","28,773.59","28,891.07","28,972.68","28,619.10","1.24B","-0.39%"
"2020年1月14日","28,885.14","29,149.53","29,149.53","28,790.49","1.64B","-0.24%"
"2020年1月13日","28,954.94","28,772.37","28,971.40","28,671.84","1.77B","1.11%"
"2020年1月10日","28,638.20","28,665.14","28,665.14","28,504.27","1.45B","0.27%"
"2020年1月9日","28,561.00","28,367.65","28,561.00","28,325.86","1.69B","1.68%"
"2020年1月8日","28,087.92","27,999.58","28,198.61","27,857.73","1.71B","-0.83%"
"2020年1月7日","28,322.06","28,352.68","28,473.08","28,264.07","1.30B","0.34%"
"2020年1月6日","28,226.19","28,326.50","28,367.87","28,054.29","1.79B","-0.79%"
"2020年1月3日","28,451.50","28,828.36","28,883.30","28,428.17","1.80B","-0.32%"
"2020年1月2日","28,543.52","28,249.37","28,543.52","28,245.97","1.26B","1.25%"
"2019年12月31日","28,189.75","28,241.43","28,298.46","28,123.86","873.71M","-0.46%"
"2019年12月30日","28,319.39","28,250.48","28,418.65","28,165.13","1.42B","0.33%"
"2019年12月27日","28,225.42","28,033.66","28,226.11","28,000.62","1.38B","1.30%"
"2019年12月24日","27,864.21","27,901.51","27,921.29","27,792.66","483.98M","-0.15%"
"2019年12月23日","27,906.41","28,024.62","28,024.62","27,830.08","1.22B","0.13%"
"2019年12月20日","27,871.35","27,834.55","27,959.52","27,740.66","1.68B","0.25%"
"2019年12月19日","27,800.49","27,908.78","27,908.78","27,675.24","1.30B","-0.30%"
"2019年12月18日","27,884.21","27,946.74","27,970.76","27,775.98","1.84B","0.15%"
"2019年12月17日","27,843.71","27,630.69","27,894.72","27,563.44","1.93B","1.22%"
"2019年12月16日","27,508.09","27,530.50","27,715.93","27,473.32","1.42B","-0.65%"
"2019年12月13日","27,687.76","27,494.51","27,687.76","27,405.26","2.21B","2.57%"
"2019年12月12日","26,994.14","26,837.94","27,048.98","26,837.94","1.45B","1.31%"
"2019年12月11日","26,645.43","26,410.09","26,659.98","26,364.43","1.41B","0.79%"
"2019年12月10日","26,436.62","26,378.99","26,527.09","26,355.53","956.29M","-0.22%"
"2019年12月9日","26,494.73","26,513.97","26,618.25","26,432.27","1.30B","-0.01%"
"2019年12月6日","26,498.37","26,345.20","26,520.08","26,309.34","1.64B","1.07%"
"2019年12月5日","26,217.04","26,300.51","26,300.51","26,134.06","1.23B","0.59%"
"2019年12月4日","26,062.56","26,071.39","26,191.79","25,995.15","1.50B","-1.25%"
"2019年12月3日","26,391.30","26,315.97","26,424.12","26,063.02","1.80B","-0.20%"
"2019年12月2日","26,444.72","26,475.34","26,511.55","26,393.09","1.35B","0.37%"
"2019年11月29日","26,346.49","26,705.38","26,705.38","26,308.10","2.00B","-2.03%"
"2019年11月28日","26,893.73","26,763.63","26,991.80","26,763.63","998.84M","-0.22%"
"2019年11月27日","26,954.00","26,943.52","26,974.28","26,866.80","1.13B","0.15%"
"2019年11月26日","26,913.92","27,183.90","27,227.87","26,913.92","2.42B","-0.29%"
"2019年11月25日","26,993.04","26,873.35","27,114.22","26,852.89","1.50B","1.50%"
"2019年11月22日","26,595.08","26,584.88","26,690.17","26,487.67","1.10B","0.48%"
"2019年11月21日","26,466.88","26,587.59","26,587.59","26,306.02","1.71B","-1.57%"
"2019年11月20日","26,889.61","26,936.79","26,962.17","26,804.35","1.33B","-0.75%"
"2019年11月19日","27,093.80","26,671.32","27,093.80","26,605.63","1.54B","1.55%"
"2019年11月18日","26,681.09","26,442.39","26,702.16","26,406.35","1.43B","1.35%"
