,trade_date,open,close,high,low,pre_close,change,pct_chg,ts_code
292,20190319,29419.14,29466.28,29486.15,29319.51,29409.01,57.27,0.1947,HSI
293,20190318,29112.44,29409.01,29409.01,29034.13,29012.26,396.75,1.3675,HSI
294,20190315,28843.86,29012.26,29204.73,28828.26,28851.39,160.87,0.5576,HSI
295,20190314,28891.06,28851.39,28932.47,28696.31,28807.45,43.94,0.1525,HSI
296,20190313,28924.28,28807.45,28924.28,28690.37,28920.87,-113.42,-0.3922,HSI
297,20190312,28760.27,28920.87,28941.09,28734.09,28503.3,417.57,1.465,HSI
298,20190311,28265.85,28503.3,28512.27,28240.78,28228.42,274.88,0.9738,HSI
299,20190308,28409.14,28228.42,28533.76,28201.09,28779.45,-551.03,-1.9147,HSI
300,20190307,28965.42,28779.45,29007.07,28772.45,29037.6,-258.15,-0.889,HSI
301,20190306,29003.25,29037.6,29122.81,28938.39,28961.6,76.0,0.2624,HSI
302,20190305,28823.16,28961.6,29025.79,28734.81,28959.59,2.01,0.0069,HSI
303,20190304,28855.11,28959.59,29241.8,28760.67,28812.17,147.42,0.5117,HSI
304,20190301,28716.6,28812.17,28860.2,28663.71,28633.18,178.99,0.6251,HSI
305,20190228,28719.71,28633.18,28917.49,28571.13,28757.44,-124.26,-0.4321,HSI
306,20190227,28833.16,28757.44,29014.19,28701.47,28772.06,-14.62,-0.0508,HSI
307,20190226,28971.23,28772.06,28971.23,28700.01,28959.3,-187.24,-0.6466,HSI
308,20190225,28975.52,28959.3,29009.98,28763.46,28816.3,143.0,0.4962,HSI
309,20190222,28478.96,28816.3,28816.3,28430.2,28629.92,186.38,0.651,HSI
310,20190221,28450.0,28629.92,28759.35,28364.85,28514.05,115.87,0.4064,HSI
311,20190220,28404.68,28514.05,28599.77,28357.3,28228.13,285.92,1.0129,HSI
312,20190219,28440.49,28228.13,28488.97,28208.87,28347.01,-118.88,-0.4194,HSI
313,20190218,28186.75,28347.01,28412.08,28186.75,27900.84,446.17,1.5991,HSI
314,20190215,28241.44,27900.84,28256.69,27845.87,28432.05,-531.21,-1.8683,HSI
